word,frequency
भ्यां,9
मण्डले,9
मता,9
मनः,9
यद्,9
यद्वै,9
यावद्,9
य॒ज्ञं,9
रा॒ष्ट्रं,9
वयं,9
विदुः,9
व॒यं,9
शतिश्च,9
शिवस्य,9
शृणु,9
श्रीमन्मृगेन्द्रे,9
षट्,9
सो,9
सोम॑स्य,9
सोम॒,9
स्वरूपं,9
होत॒व्या॑,9
ऽयं,9
अनु॒,8
अव॑,8
इ,8
इत्यनेन,8
इन्द्रो॑,8
उ॒त,8
ऋ॒तस्य॑,8
एतच्च,8
एतेषां,8
एन्,8
एवम्,8
एषां,8
कामिके,8
कारयेत्,8
कार्यं,8
किञ्चित्,8
कृतवान्,8
क्रियते,8
क्रियया,8
गृह्णाति,8
गृ॒हे,8
जातः,8
जानाति,8
तत्वानि,8
तदाह,8
तदेव,8
तद्यथापि,8
तम्,8
तर्पयत,8
तस्मा,8
तस्यै॒षा,8
तान्,8
तेषु,8
त्व,8
दीक्षया,8
दे॒वता,8
द्यावा॑पृथि॒वी,8
धा॒ता,8
धा॒तारं॑,8
परां,8
परि,8
पादौ,8
पार्थ,8
पितरो,8
पुरतः,8
पू॒षा,8
प्रत्येकं,8
प्रवक्ष्यामि,8
प्रा॒णो,8
प्र॒जां,8
बभूव,8
बुद्धिः,8
ब्रह्म॑,8
ब्र॒ह्मा,8
भूमिं,8
भूयो,8
भोगः,8
भोगे,8
भ॒द्रं,8
महता,8
महान्,8
मुनिः,8
मूलं,8
य॒ज्ञ,8
लो॒कं,8
विशेषतः,8
वि॒द्वान्,8
शर्म॑,8
सद्यो,8
समाचरेत्,8
साम्रा,8
सु,8
सोऽपि,8
स्थानं,8
स्युः,8
स्वयम्,8
स॒,8
अनु॑,7
अस्यां,7
अहो,7
अ॒भि,7
आसन्,7
उ,7
एका,7
एतेन,7
एषा,7
कर्मणि,7
कालेन,7
के,7
क्वचित्,7
क्षेत्रे,7
गच्छति,7
तथाहि,7
तेन॑,7
तेन॒,7
त्वा॑,7
दक्षिणे,7
दत्त्वा,7
ददाति,7
दिने,7
दि॒वो,7
दी,7
देवः,7
देवीं,7
द्वाद॑शकपालं,7
द्वितीयं,7
द्वितीयः,7
द्वितीया,7
नमः॑,7
पञ्चधा,7
पञ्चार्णं,7
परस्परं,7
पुत्रं,7
पुरुषं,7
प्रणम्य,7
प्रतिपाद्यते,7
प्रतिष्ठायां,7
प्रथमः,7
प्राप्ते,7
प्राह,7
प्र॒जाः,7
प्र॒जाप॑तये,7
ब्रूहि,7
भवतीति,7
भूर्भुवः॒,7
भ्यो,7
मनसि,7
मन्त्राः,7
मन्यते,7
महत्,7
महेश्वरः,7
मृगेन्द्रे,7
यज॑ते॒,7
यज॑मानस्य॒,7
यत्ते॑,7
यथा॒,7
यद्येवं,7
यस्मात्,7
योगः,7
